gradient_model,env,seed_0,run_dir_0,condition_0,seed_1,run_dir_1,condition_1
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_85.env,970286,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970286,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970386,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970386,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_86.env,970287,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970287,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970387,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970387,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_87.env,970288,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970288,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970388,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970388,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_88.env,970289,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970289,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970389,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970389,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_89.env,970290,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970290,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970390,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970390,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_90.env,970291,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970291,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970391,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970391,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_91.env,970292,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970292,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970392,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970392,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_92.env,970293,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970293,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970393,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970393,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_93.env,970294,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970294,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970394,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970394,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_94.env,970295,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970295,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970395,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970395,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_95.env,970296,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970296,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970396,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970396,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_96.env,970297,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970297,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970397,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970397,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_97.env,970298,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970298,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970398,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970398,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_98.env,970299,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970299,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970399,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970399,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
0,/mnt/home/lalejini/devo_ws/Aagos/hpcc/2020-07-24--competition-evo-arch/environments/nk/nk_env_99.env,970300,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970300,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.003 -GRADIENT_MODEL 0,970400,/mnt/scratch/lalejini/data/aagos/2020-07-24--competition-evo-arch/SEED_970400,-CHANGE_FREQUENCY 0 -BIT_FLIP_PROB 0.1 -GRADIENT_MODEL 0
